YEAR,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
1980,49.2,58.7,46.2,52,55,57.2,63.9,56,37.2,52,42.1,46.9,69,60.4,58.3,63.6,57.5,50.5,54,65.4,52,61.4,61.3,71.2,52.4,59.5,65.6,57.5,43.3,58.1,58.1,52.3,51.7,44.1,65.2,56.1,53.2,62.8,52.6,61.6,41.1,67.7,49.2,47.4,66,58.7,48.7,59.6,53.2,68.4,54.1
1982,40.6,63.4,36,48.1,48.7,43.5,48.1,44.4,25,35.5,29.6,46.5,50.2,46.5,46.8,50.2,44,26.8,0,56.3,37.5,49,47.8,61.3,37,43.3,56.4,48.5,38.7,41.2,42,44.3,43.4,30.4,55,44.1,38.4,55,42.1,50,29.7,56.9,37.5,31.2,55.1,45.4,35.7,45.6,40.4,46.9,49
1984,50.9,60.5,47.7,53,57.2,57.1,63.8,57.5,44.8,52.4,43.1,48.4,62,60.8,57,64.1,58.4,51.8,56.5,65.8,53.8,59.9,59.3,69.9,53.3,58.7,66.4,57.5,43.6,54.1,60.5,53.8,55.6,48.2,64,58.8,54,64.3,55.1,58.8,41.6,64.3,50.1,51,63,61.5,52.4,61.3,52.9,64.9,55.8
1986,43.1,51.4,37.4,41.4,43.4,45.9,42.4,35.3,28.3,40.9,28.5,46.7,58.4,39.7,39.4,45.1,47.8,25.5,45.4,49.7,34.6,38.9,36.8,46.8,29.4,40.4,55.6,50.3,37.4,33,28.8,40,35,34.2,61,40.1,39.7,54.9,38.4,43,31.5,60.1,34.8,31.9,42.5,50.5,29.1,42.4,29.9,44.5,50.1
1988,47.5,56.4,47.7,49,55.7,59,60.7,52.9,42.5,49,40.6,47.9,61.3,57.3,54.3,60.6,56,49.3,55.4,62.5,51.6,60,55.5,67.9,52,56.6,64.4,58.8,45.6,56.4,57,52,52.7,44.5,63.7,55.8,52.1,60.6,51,56.1,40.2,63.4,46.1,50.1,62,60.1,49.8,56.8,48.5,62.8,56
1990,41.1,53.4,41.8,40.7,42.4,43.2,47.9,37,38.3,38.6,31.6,45.4,46.5,40.6,36.8,48.4,44.1,33.6,47.2,57.3,32.7,53.4,38.3,57.6,20.2,36.2,55.7,52.5,37.4,36.2,35.7,40,33.1,41.9,50.7,43.6,40.5,54.1,34.1,50.2,30,52.3,21.8,35.3,40.7,50.9,25.5,38.4,30,39,51.2
1992,55.7,66.3,55.7,54.3,60.3,62.9,68.6,58,53.3,55.9,48.5,46.9,65.6,62.2,55.4,65.8,63.9,53.8,59.7,74.3,57.7,63.8,63,73.7,52.9,63.1,69.2,64.2,53.9,66.1,61.9,53.1,56.6,51.4,66.6,61.3,60.6,68.2,54.9,62.8,46.1,66.7,53.2,54.2,64,69,55.4,64,50.1,69.9,61.9
1994,38.8,53.4,39.1,39.8,46.9,42.1,49.1,38.8,44.6,42.9,31,45.6,52.7,38,36.4,48,44.7,27.7,27.2,55.7,40.5,50.1,45.1,54.5,31.9,46,56.3,49.8,36.9,37.6,38.1,41.4,42.7,30.3,50.4,42.3,42.7,54.8,39.6,50.5,35.1,60.1,38.6,37.5,41.5,49.5,43.6,45.8,30.5,42.4,59.8
1996,48.8,59.8,45.6,47.9,53.7,54.5,59.6,51.2,46.6,51.9,44.4,43.9,59.3,52.5,49.6,58.8,57.3,48.2,57.8,65.2,50.4,58.4,55.3,66.1,45.9,55.1,63.1,57,40.9,58.3,56.4,47.4,51.9,46.3,56,55.4,51,59.7,49.7,54.4,42.2,61.1,47.5,46.5,50.2,59.3,50.2,58.9,45.9,58.4,61.3
1998,41.2,54.6,31.5,37.5,43.5,46.1,42.7,33.4,34,37.4,33.7,49,45.2,41,36.5,45.3,38.8,39.1,31.3,51.6,43,43,43.4,61.9,27.6,39.6,50.7,45.5,35.3,36.3,32.9,41.6,38.6,35.8,44.9,41.3,36.2,47.2,33.3,42.3,38.1,49,23.9,29.9,35.8,49,23.4,48.4,25.3,46.3,49.9
2000,51.6,68.1,45.6,47.9,55.7,57.5,61.9,59,48.3,55.9,45.8,44.2,57.2,56.2,49.3,63.2,55.6,52.2,56.4,67.2,55.5,59.9,59.9,69.5,49.1,58.2,61.6,56.9,45.2,63.9,56.9,48.5,55.1,50.7,60.3,56.7,49.9,64.9,54.1,54.2,47,57.7,49.9,49.2,53.8,64.1,54,60.7,46.6,67.6,59.2
2002,41.5,54.2,35.9,41.3,36.1,46.3,42.3,41.1,30.1,45.6,35.4,43.8,44.7,41.4,33.9,47.9,44,37.2,39.4,50.8,46.3,49.2,44.5,64.1,30.1,45.6,48.4,39.9,36.2,48.1,38.1,38.6,36.1,39.7,48.5,38.8,41.2,50.8,38.8,44.7,36.9,60.7,39.6,34.2,37,48.8,29,41.8,31.2,45.4,50.1
2004,57.2,69.1,54.1,53.6,58.8,66.7,65,64.2,54.3,64.4,56.2,48.2,63.2,61.5,54.8,69.9,61.6,58.7,61.1,73.8,62.9,64.2,66.6,78.4,55.7,65.3,64.4,62.9,55.3,70.9,63.8,59,58,57.8,64.8,66.8,58.3,72,62.6,58.5,53,68.2,56.3,53.7,58.9,66.3,60.6,66.9,54.1,74.8,65.7
2006,37.5,51,38.9,38.7,40.2,47.3,46.6,42.3,28.3,39.6,34.7,37.9,45.4,40.2,36.6,48.1,43.6,40.4,29.7,54.2,46.7,48.8,52.1,60.1,29.4,50,56.4,47.6,36.9,41.4,39.5,42.5,34.9,31,44.9,47.5,36.4,52.5,44.1,51,34.6,57.8,41.4,30.9,34.3,54.9,44,47.3,32.8,53.2,51.1
2008,60.8,68,56.7,52.5,60.9,71,66.6,65.6,61.5,66.1,62.5,48.8,63.6,63.6,59.1,69.4,62,57.9,61.2,70.6,67,66.8,69.2,77.8,61,67.6,66.3,62.9,57,71.7,67,60.9,59,65.5,62.7,66.9,55.8,67.7,63.6,61.8,58,64.7,57,54.1,56,67.3,67,66.6,49.9,72.4,62.8
2010,43,51.9,41,37.5,44,50.6,45.9,47.5,28.9,41.7,39.8,39.9,42.3,42.4,37.1,49.9,41.7,42.4,38.9,55.2,46.4,48.9,44.5,55.4,37,44.5,47.5,37.5,41.3,45.7,36.4,42.8,35.5,39.2,46.2,44.9,38.8,52.7,41.7,44.8,39.7,52.9,34.6,32.1,36.3,49.4,38.7,53.2,36.8,52,45.5
2012,58.6,58.7,52.6,50.7,55.1,69.9,61.3,62.3,61.5,62.8,59,44.2,59.8,58.9,55.2,70.3,56.9,55.7,60.2,68.2,66.6,65.9,64.7,76,59.3,62.2,62.5,60.3,56.4,70.2,61.5,54.6,53.1,64.8,59.8,64.5,49.2,63.1,59.5,58,56.3,59.3,51.9,49.6,55.5,60.7,66.1,64.8,46.3,72.9,58.6
2014,32.9,54.2,33.4,40.1,29.9,53.7,42.3,34.3,35.3,42.8,38.2,36.2,39.3,40.2,27.8,49.8,42.5,44.2,43.9,58.1,41.7,44.1,42.7,50.4,29,31.7,46.9,40.5,29.3,47.6,31.1,35.4,28.2,40.8,43.8,35.1,29.9,50.9,36.1,41.7,34.8,44.3,28.6,28.3,29.7,38.9,36.6,41.2,31.2,56.6,39
2016,58.8,61,54.9,52.8,56.5,70,63.7,64.2,60.4,64.5,59.1,42.3,59.2,61.6,56.4,68.4,57.7,58.6,60,70.7,66.4,67.2,64.7,74.1,55.2,62.2,61.8,62.8,57.4,71.4,64.4,54.5,56.8,64.5,60.8,62.9,52.3,66.2,63.6,59.1,56.7,58.6,51.1,51.4,56.8,63.7,66.1,64.7,50.2,69.5,59.5
2018,47.2,54.3,48.6,41,48.6,61.5,53.8,51,42.5,54.3,54.9,38.5,49.4,50.7,46.4,57.4,50.9,47.3,43,59.1,53.5,53.7,56.6,63.9,42.5,53.4,61.4,51.2,47.4,54,51.8,47,44.3,48.7,57.8,50.1,42.4,60,51.4,47.5,44.7,53,44.6,46.3,51.2,55.1,54.6,58.1,41.7,61.6,48.2
